Order Date,Region,Category,Sales,Profit
2015-01-01,East,Technology,5979.93,1109.94
2015-01-02,Central,Technology,32329.14,6620.68
2015-01-02,Central,Technology,12318.91,2935.01
2015-01-02,East,Office Supplies,48414.49,5684.44
2015-01-02,Central,Technology,18190.13,1896.02
2015-01-03,West,Technology,17109.28,1217.09
2015-01-04,Central,Technology,20201.32,5507.4
2015-01-05,Central,Furniture,12874.94,3077.16
2015-01-06,East,Furniture,24033.1,5973.91
2015-01-07,Central,Furniture,43397.11,10737.86
2015-01-08,South,Furniture,47773.9,7894.88
2015-01-10,Central,Technology,13825.9,3831.83
2015-01-10,West,Furniture,9006.92,2440.33
2015-01-10,Central,Technology,11263.66,3205.46
2015-01-11,East,Furniture,48319.78,13348.66
2015-01-11,East,Furniture,1491.16,350.15
2015-01-12,Central,Furniture,32434.29,2940.22
2015-01-12,West,Technology,40456.0,5053.88
2015-01-12,West,Office Supplies,9249.46,1692.84
2015-01-12,East,Technology,13657.07,1988.62
2015-01-14,South,Furniture,16189.7,1076.38
2015-01-14,West,Furniture,22371.48,1924.06
2015-01-16,South,Furniture,5634.64,537.14
2015-01-17,East,Office Supplies,40494.3,3684.86
2015-01-17,West,Furniture,42390.68,9363.01
2015-01-19,West,Furniture,25327.43,7471.07
2015-01-19,Central,Technology,41555.97,10972.27
2015-01-19,Central,Furniture,28726.78,1539.24
2015-01-20,Central,Furniture,30269.83,3910.47
2015-01-21,East,Furniture,27199.28,3476.75
2015-01-21,Central,Furniture,43099.79,10739.21
2015-01-22,West,Furniture,14601.12,4244.32
2015-01-22,West,Technology,19774.65,3876.91
2015-01-22,East,Office Supplies,28495.23,7199.19
2015-01-22,South,Office Supplies,27356.12,7769.64
2015-01-23,West,Office Supplies,20366.13,5223.18
2015-01-23,Central,Technology,13487.29,961.81
2015-01-25,Central,Furniture,15822.33,919.98
2015-01-25,East,Office Supplies,34056.59,2059.88
2015-01-25,South,Office Supplies,33921.88,5721.31
2015-01-26,West,Office Supplies,2174.15,394.58
2015-01-28,South,Furniture,36856.19,9849.56
2015-01-28,East,Technology,27957.61,2466.21
2015-01-29,West,Furniture,44144.78,4761.15
2015-01-29,West,Technology,49981.96,3541.87
2015-01-29,East,Technology,20421.03,2747.7
2015-02-02,South,Technology,10513.25,789.32
2015-02-04,South,Technology,12413.3,2508.47
2015-02-04,Central,Technology,49945.51,11206.18
2015-02-05,East,Technology,2218.45,559.74
2015-02-05,East,Technology,41582.9,6240.82
2015-02-05,Central,Technology,44207.29,10648.87
2015-02-06,West,Technology,39664.26,6227.15
2015-02-06,West,Technology,26662.72,4104.39
2015-02-07,South,Technology,46639.07,9717.6
2015-02-08,Central,Technology,45562.14,12327.44
2015-02-08,Central,Furniture,43208.03,4926.87
2015-02-08,West,Furniture,42904.32,4676.05
2015-02-08,Central,Office Supplies,4799.71,728.55
2015-02-09,West,Furniture,3251.14,670.39
2015-02-09,West,Furniture,5030.99,318.15
2015-02-10,South,Furniture,38877.25,9871.84
2015-02-10,South,Technology,17760.64,5156.35
2015-02-10,West,Office Supplies,12923.83,1773.76
2015-02-10,West,Technology,41683.51,8511.04
2015-02-11,West,Technology,13253.98,1626.95
2015-02-12,Central,Furniture,24189.89,3304.3
2015-02-12,Central,Technology,15217.23,3979.26
2015-02-12,West,Furniture,44265.29,9090.2
2015-02-16,South,Furniture,39768.25,4553.22
2015-02-16,West,Office Supplies,19131.23,5318.77
2015-02-17,West,Office Supplies,25248.87,6360.58
2015-02-18,Central,Office Supplies,34561.46,6529.21
2015-02-19,South,Technology,5424.8,669.44
2015-02-20,Central,Furniture,24907.3,2403.26
2015-02-20,South,Technology,46222.62,13013.68
2015-02-20,Central,Technology,8216.09,2226.12
2015-02-20,South,Office Supplies,17380.35,1007.22
2015-02-22,Central,Furniture,7711.29,2281.32
2015-02-23,Central,Office Supplies,24119.42,7137.49
2015-02-24,East,Technology,21507.62,5403.73
